type,title,rating,ratinglevel,ratingdescription,release_year,user_rating_score,user_rating_size
TVshow,Pac-Man and the Ghostly Adventures,TV-Y7,Suitable for children ages 7 and older,41,2014,,82
TVshow,Iron Man & Captain America: Heroes United,PG,"action and violence throughout, and mild language",60,2014,,82
TVshow,Power Rangers Super Megaforce,TV-Y7,Suitable for children ages 7 and older,41,2014,,82
TVshow,Chuggington,TV-Y,Suitable for all ages.,10,2015,,82
TVshow,All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71,80
TVshow,The Adventures of Puss in Boots,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,78,80
TVshow,Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82
TVshow,Marvel Super Hero Adventures: Frost Fight!,PG,fantasy action,60,2015,,82
TVshow,Some Assembly Required,TV-G,Suitable for all ages.,35,2015,,82
TVshow,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82
TVshow,Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82
TVshow,Kulipari: An Army of Frogs,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82
TVshow,Transformers: Robots in Disguise,TV-Y7,Suitable for children ages 7 and older,41,2016,,82
TVshow,Robocar Poli,TV-Y,Suitable for all ages.,10,2012,,82
movie,LEGO Bionicle: The Journey to One,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82
movie,Lego DC Comics: Batman Be-Leaguered,TV-Y7,Suitable for children ages 7 and older,41,2014,,82
movie,Voltron: Legendary Defender,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82
movie,Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83,80
movie,Buddy Thunderstruck,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,,82
movie,Power Rangers Dino Charge,TV-Y7,Suitable for children ages 7 and older,41,2015,,82
movie,Pok̩mon: XY,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,56,80
movie,Power Rangers Dino Super Charge,TV-Y7,Suitable for children ages 7 and older,41,2016,,82
movie,The Deep,TV-Y7,Suitable for children ages 7 and older,41,2015,,82
movie,Skylanders Academy,TV-Y7,Suitable for children ages 7 and older,41,2016,,82
movie,Marvel's Hulk: Where Monsters Dwell,PG,"action violence throughout, some scary images, and language",60,2016,,82
movie,Growing Up Wild,G,,35,2016,80,80
movie,The Little Rascals,PG,some rude dialogue,60,1994,86,80
movie,Flubber,PG,slapstick action and mild language,60,1997,83,80
movie,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,80
movie,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,80
movie,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86,80
movie,Lilo & Stitch,PG,mild sci-fi action,60,2002,95,80
movie,Scooby-Doo 2: Monsters Unleashed,PG,"some scary action, rude humor and language",60,2004,82,80
movie,The Three Musketeers,G,General Audiences. Suitable for all ages.,35,2004,,82
movie,Mickey's Twice Upon a Christmas,G,General Audiences. Suitable for all ages.,35,2004,,82
movie,The Pacifier,PG,"action violence, language and rude humor",60,2005,91,80
movie,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92,80
movie,Teenage Mutant Ninja Turtles,PG,"animated action violence, some scary cartoon images and mild language",60,2007,,82
movie,Bee Movie,PG,mild suggestive humor,60,2007,94,80
movie,Kung Fu Panda,PG,sequences of martial arts action,60,2008,91,80
movie,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95,80
movie,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,80
movie,Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89,80
movie,Super Why!,TV-Y,Suitable for all ages.,10,2015,68,80
movie,Jessie,TV-G,Suitable for all ages.,35,2015,88,80
movie,Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,,82
movie,Lab Rats,TV-Y7,Suitable for children ages 7 and older,41,2016,85,80
movie,Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81,80
movie,Pocoyo,TV-Y,Suitable for all ages.,10,2007,67,80
movie,Home,PG,mild action and some rude humor,60,2015,94,80
movie,Chuggington,TV-Y,Suitable for all ages.,10,2015,,82
movie,Octonauts,TV-Y,Suitable for all ages.,10,2015,,82
movie,Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88,80
movie,Mother Goose Club,TV-Y,Suitable for all ages.,10,2016,,82
movie,Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70,80
movie,Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93,80
movie,Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72,80
movie,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82
movie,Goosebumps,PG,"scary and intense creature action and images, and for some rude humor",60,2015,90,80
movie,Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92,80
movie,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97,80
movie,The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97,80
movie,Home: Adventures with Tip & Oh,TV-Y7,Suitable for children ages 7 and older,41,2017,,82
movie,Open Season: Scared Silly,PG,rude humor and some action,60,2015,72,80
movie,The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,,82
movie,The Angry Birds Movie,PG,for rude humor and action,60,2016,92,80
movie,Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96,80
movie,Finding Dory,PG,mild thematic elements,60,2016,98,80
movie,The Secret Life of Pets,PG,for action and some rude humor,60,2016,,81
movie,Ask the StoryBots,TV-Y,Suitable for all ages.,10,2016,,82
movie,The Furchester Hotel,TV-Y,Suitable for all ages.,10,2015,,82
movie,Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77,80
movie,Little Baby Bum: Nursery Rhyme Friends,TV-Y,Suitable for all ages.,10,2016,,82
movie,Angry Birds,TV-G,Suitable for all ages.,35,2013,,82
movie,Tayo the Little Bus,TV-Y,Suitable for all ages.,10,2014,,82
movie,Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61,80
movie,The Little Rascals,PG,some rude dialogue,60,1994,86,80
movie,Antz,PG,moderate adult language and intense action,60,1998,80,80
movie,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,80
movie,An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67,80
movie,Chicken Run,G,General Audiences. Suitable for all ages.,35,2000,80,80
movie,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,80
movie,Lilo & Stitch,PG,mild sci-fi action,60,2002,95,80
movie,Spy Kids 3: Game Over,PG,action sequences and peril,60,2003,64,80
movie,Annie,PG,adult content and mld violence,60,1982,68,80
movie,Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85,80
movie,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92,80
movie,Lilo & Stitch 2: Stitch Has A Glitch,PG,some mild action,60,2005,85,80
movie,Teenage Mutant Ninja Turtles,PG,"animated action violence, some scary cartoon images and mild language",60,2007,,82
movie,Bee Movie,PG,mild suggestive humor,60,2007,94,80
movie,Kung Fu Panda,PG,sequences of martial arts action,60,2008,91,80
movie,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,80
movie,Super Why!,TV-Y,Suitable for all ages.,10,2015,68,80
movie,DreamWorks Shrek's Swamp Stories,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,56,80
movie,Beverly Hills Chihuahua 3: Viva La Fiesta!,G,General Audiences. Suitable for all ages.,35,2012,,82
movie,DreamWorks Spooky Stories: Volume 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,,82
movie,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81,80
movie,Goosebumps,TV-Y7,Suitable for children ages 7 and older,41,1998,88,80
movie,Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,,82
movie,Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,,82
movie,Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81,80
movie,Pocoyo,TV-Y,Suitable for all ages.,10,2007,67,80
movie,Sofia the First,TV-Y,Suitable for all ages.,10,2015,82,80
movie,Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,35,2012,85,80
movie,Paddington,PG,mild action and rude humor,60,2014,70,80
movie,Larva,TV-G,Suitable for all ages.,35,2015,,82
movie,Sid the Science Kid,TV-Y,Suitable for all ages.,10,2008,,82
movie,Chuggington,TV-Y,Suitable for all ages.,10,2015,,82
movie,All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71,80
movie,Octonauts,TV-Y,Suitable for all ages.,10,2015,,82
movie,Minions,PG,action and rude humor,60,2015,96,80
movie,Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88,80
movie,Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70,80
movie,Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93,80
movie,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82
movie,The Little Prince,PG,mild thematic elements,60,2015,71,80
movie,Word Party,TV-Y,Suitable for all ages.,10,2016,,82
movie,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97,80
movie,The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97,80
movie,Home: Adventures with Tip & Oh,TV-Y7,Suitable for children ages 7 and older,41,2017,,82
movie,Open Season: Scared Silly,PG,rude humor and some action,60,2015,72,80
movie,The Angry Birds Movie,PG,for rude humor and action,60,2016,92,80
movie,Finding Dory,PG,mild thematic elements,60,2016,98,80
movie,The Secret Life of Pets,PG,for action and some rude humor,60,2016,,81
movie,Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77,80
movie,Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61,80
movie,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81,80
movie,Homeward Bound: The Incredible Journey,G,General Audiences. Suitable for all ages.,35,1993,96,80
movie,The Little Rascals,PG,some rude dialogue,60,1994,86,80
movie,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,80
movie,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,80
movie,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,80
movie,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86,80
movie,Lilo & Stitch,PG,mild sci-fi action,60,2002,95,80
movie,Missione Hamburger,PG,"language, some comic violence and mild sex-related humor",60,1997,75,80
movie,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92,80
movie,Curious George,G,General Audiences. Suitable for all ages.,35,2006,55,80
movie,Bee Movie,PG,mild suggestive humor,60,2007,94,80
movie,Kung Fu Panda,PG,sequences of martial arts action,60,2008,91,80
movie,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95,80
movie,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,80
movie,Super Why!,TV-Y,Suitable for all ages.,10,2015,,80
movie,Jessie,TV-G,Suitable for all ages.,35,2015,88,80
movie,Secret of the Wings,G,General Audiences. Suitable for all ages.,35,2012,65,80
movie,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81,80
movie,Sammy 2,,Parental guidance suggested. May not be suitable for all children.,70,2012,,82
movie,Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81,80
movie,Sofia the First,TV-Y,Suitable for all ages.,10,2015,82,80
movie,Barbie Life in the Dreamhouse,TV-G,,35,2012,85,80
movie,,TV-Y,Suitable for all ages.,,2002,,82
movie,Home,PG,mild action and some rude humor,60,2015,94,80
movie,Paddington,PG,mild action and rude humor,60,2014,70,80
movie,Chuggington,TV-Y,Suitable for all ages.,10,2015,,82
movie,Octonauts,TV-Y,,10,2015,,82
movie,Minions,PG,action and rude humor,60,2015,96,80
movie,Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88,80
movie,Little Einsteins,,Suitable for all ages.,10,2007,70,80
movie,Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93,80
movie,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,,82
movie,Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,,84,80
movie,Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92,80
movie,Bunk'd,TV-G,Suitable for all ages.,35,2016,61,80
movie,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97,80
movie,The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97,80
movie,Open Season: Scared Silly,PG,rude humor and some action,60,2015,72,80
movie,The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,,82
movie,The Angry Birds Movie,PG,for rude humor and action,60,2016,92,80
movie,Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96,80
movie,The BFG,PG,"for action/peril, some scary moments and brief rude humor",60,2016,97,80
movie,The Secret Life of Pets,PG,for action and some rude humor,60,2016,,81
movie,Pete's Dragon,PG,"for action, peril and brief language",60,2016,93,80
movie,Kubo and the Two Strings,PG,"thematic elements, scary images, action and peril",60,2016,96,80
movie,Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77,80
movie,Little Baby Bum: Nursery Rhyme Friends,TV-Y,Suitable for all ages.,10,2016,,82
movie,Growing Up Wild,G,,35,2016,80,80
movie,The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65,80
movie,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81,80
movie,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,80
movie,Antz,PG,moderate adult language and intense action,60,1998,80,80
movie,Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,,82
movie,The Prince of Egypt,PG,intense scenes dealing with strong content,60,1998,81,80
movie,Paulie,PG,Parental guidance suggested. May not be suitable for children.,60,1998,,82
movie,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,80
movie,The Road to El Dorado,PG,mild thematic material and language,60,2000,91,80
movie,Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,,82
movie,Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35,1998,64,80
movie,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,80
movie,Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61,80
movie,An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67,80
TVshow,Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35,1997,,82
TVshow,FernGully 2: The Magical Rescue,G,General Audiences. Suitable for all ages.,35,1998,,82
TVshow,Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,,82
TVshow,Balto,G,General Audiences. Suitable for all ages.,35,1995,64,80
TVshow,Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,,82
TVshow,The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,,82
TVshow,The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35,1997,,82
TVshow,An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,,82
TVshow,An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,,82
TVshow,The Last Unicorn,G,General Audiences. Suitable for all ages.,35,1982,,82
TVshow,The Iron Giant,PG,fantasy action and mild language,60,1999,83,80
TVshow,Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57,80
TVshow,The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35,2006,,82
TVshow,The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,,82
TVshow,Jetsons: The Movie,G,General Audiences. Suitable for all ages.,35,1990,,82
TVshow,We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,,82
TVshow,A Monster in Paris,PG,"some action violence involving gunplay, and mild rude humor",60,2011,,82
TVshow,The Gruffalo,TV-Y,Suitable for all ages.,10,2009,,82
TVshow,DreamWorks How to Train Your Dragon Legends,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,,82
TVshow,Ernest & Celestine,PG,some scary moments,60,2012,,82
TVshow,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81,80
TVshow,Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72,80
TVshow,Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,,82
TVshow,PopPixie,TV-G,Suitable for all ages.,35,2011,,82
TVshow,Jack and the Cuckoo-Clock Heart,PG,"scary images, suggestive material, some language and smoking",60,2013,,82
TVshow,The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57,80
TVshow,Axel: The Biggest Little Hero,PG,"some scary images, perilous action sequences and mild rude humor",60,2013,,82
TVshow,The Adventures of Figaro Pho,TV-Y7,Suitable for children ages 7 and older,41,2015,,82
TVshow,The Boxcar Children,G,General Audiences. Suitable for all ages.,35,2014,,82
TVshow,Pet Pals in Windland,TV-G,Suitable for all ages.,35,2014,,82
TVshow,Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84,80
TVshow,Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,,82
TVshow,Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96,80
TVshow,Quackerz,PG,"rude and suggestive humor, and some action",60,2016,,82
TVshow,Hatched,TV-Y7,Suitable for children ages 7 and older,41,2013,,82
TVshow,Blinky Bill: The Movie,PG,some rude humor,60,2015,,82
TVshow,The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65,80
TVshow,Flubber,PG,slapstick action and mild language,60,1997,83,80
TVshow,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,80
TVshow,An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67,80
TVshow,An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67,80
TVshow,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86,80
TVshow,FernGully: The Last Rainforest,G,General Audiences. Suitable for all ages.,35,1992,70,80
TVshow,Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,,82
TVshow,Balto,G,General Audiences. Suitable for all ages.,35,1995,64,80
TVshow,The Lizzie McGuire Movie,PG,mild thematic elements,60,2003,,82
TVshow,The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,,82
TVshow,The Brave Little Toaster to the Rescue,G,,35,1997,,82
TVshow,Recess: Taking the Fifth Grade,G,General Audiences. Suitable for all ages.,35,2003,,82
TVshow,An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,,82
TVshow,An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,,82
TVshow,The Iron Giant,PG,fantasy action and mild language,60,1999,83,80
TVshow,The Very Hungry Caterpillar and Other Stories,TV-Y,Suitable for all ages.,10,1993,,82
TVshow,The Hero of Color City,G,General Audiences. Suitable for all ages.,35,2014,,82
TVshow,Dino Squad,TV-Y7,Suitable for children ages 7 and older,41,2008,,82
TVshow,The Little Engine That Could,G,General Audiences. Suitable for all ages.,35,2011,,82
TVshow,Delhi Safari,PG,"violence and menacing action, rude humor, suggestive content and thematic elements",60,2012,,82
TVshow,Ninja Turtles: The Next Mutation,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1997,,82
TVshow,Pound Puppies,TV-Y,Suitable for all ages.,10,2013,,82
TVshow,Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,,82
TVshow,Monster Math Squad,TV-G,Suitable for all ages.,35,2012,,82
TVshow,Care Bears: Welcome to Care-a-Lot,TV-Y,Suitable for all ages.,10,2012,,82
TVshow,Clifford the Big Red Dog,TV-Y,Suitable for all ages.,10,2002,,82
TVshow,Clifford's Puppy Days,TV-Y,Suitable for all ages.,10,2003,,82
TVshow,Axel: The Biggest Little Hero,PG,"some scary images, perilous action sequences and mild rude humor",60,2013,,82
TVshow,Agent F.O.X.,PG,Parental guidance suggested. May not be suitable for children.,60,2014,,82
TVshow,Dinosaur King,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2008,,82
TVshow,Ribbit,PG,some peril,60,2014,,82
TVshow,Chuggington,TV-Y,Suitable for all ages.,10,2015,,82
TVshow,Rooster Doodle-doo,TV-G,Suitable for all ages.,35,2014,,82
TVshow,Octonauts,TV-Y,Suitable for all ages.,10,2015,,82
TVshow,Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,,82
TVshow,My Animal Friends,TV-Y,Suitable for all ages.,10,2013,,82
TVshow,Worms,PG,Parental guidance suggested. May not be suitable for children.,60,2013,,82
TVshow,Puffin Rock,TV-Y,Suitable for all ages.,10,2016,,82
TVshow,Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70,80
TVshow,Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,,93,80
TVshow,Dinotrux,TV-Y7-FV,,42,2017,,
TVshow,The Mr. Peabody and Sherman Show,TV-Y7,Suitable for children ages 7 and older,41,2017,,82
TVshow,Zoobabu,TV-Y,Suitable for all ages.,10,2010,,82
TVshow,Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,,82
TVshow,Gon,TV-G,Suitable for all ages.,35,2013,,82
TVshow,Sid the Science Kid: The Movie,TV-Y,Suitable for all ages.,10,2012,,82
TVshow,The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,,82
TVshow,The Secret Life of Pets,PG,for action and some rude humor,60,2016,,81
TVshow,LEGO Jurassic World: The Indominus Escape,,Suitable for children ages 7 and older,41,2016,,
TVshow,The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65,80
TVshow,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81,80
TVshow,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,,80
TVshow,Antz,PG,moderate adult language and intense action,60,1998,80,80
TVshow,Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,,82
TVshow,The Prince of Egypt,PG,intense scenes dealing with strong content,60,1998,81,80
TVshow,Paulie,PG,Parental guidance suggested. May not be suitable for children.,60,1998,,82
TVshow,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,80
TVshow,The Road to El Dorado,PG,mild thematic material and language,60,2000,91,80
TVshow,Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,,82
TVshow,Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35,1998,64,80
TVshow,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,80
TVshow,Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61,80
TVshow,An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67,80
TVshow,Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35,1997,,82
TVshow,FernGully 2: The Magical Rescue,G,General Audiences. Suitable for all ages.,35,1998,,82
TVshow,Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,,82
TVshow,Balto,G,General Audiences. Suitable for all ages.,35,1995,64,80
TVshow,Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,,82
TVshow,The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,,82
TVshow,The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35,1997,,82
TVshow,An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,,82
TVshow,An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,,82
TVshow,The Last Unicorn,G,General Audiences. Suitable for all ages.,35,1982,,82
TVshow,The Iron Giant,PG,fantasy action and mild language,60,1999,83,80
TVshow,Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57,80
TVshow,The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35,,,82
TVshow,The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,,82
TVshow,,G,General Audiences. Suitable for all ages.,35,1990,,
TVshow,We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,,82
TVshow,A Monster in Paris,PG,,60,2011,,82
TVshow,The Gruffalo,TV-Y,Suitable for all ages.,10,2009,,82
TVshow,DreamWorks How to Train Your Dragon Legends,TV-PG,Parental guidance suggested. May not be suitable for all children.,,2011,,82
TVshow,Ernest & Celestine,PG,some scary moments,60,2012,,82
TVshow,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81,80
TVshow,Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72,80
TVshow,Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,,82
TVshow,PopPixie,TV-G,Suitable for all ages.,35,2011,,82
TVshow,Jack and the Cuckoo-Clock Heart,PG,"scary images, suggestive material, some language and smoking",60,2013,,82
TVshow,The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57,80
TVshow,Axel: The Biggest Little Hero,PG,"some scary images, perilous action sequences and mild rude humor",60,2013,,82
TVshow,The Adventures of Figaro Pho,TV-Y7,Suitable for children ages 7 and older,41,2015,,82
TVshow,The Boxcar Children,G,General Audiences. Suitable for all ages.,35,2014,,82
TVshow,Pet Pals in Windland,TV-G,Suitable for all ages.,35,2014,,82
TVshow,Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84,80
TVshow,Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,,82
TVshow,Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96,80
TVshow,Quackerz,PG,"rude and suggestive humor, and some action",60,2016,,82
TVshow,Hatched,TV-Y7,Suitable for children ages 7 and older,41,2013,,82
TVshow,Blinky Bill: The Movie,PG,some rude humor,60,2015,,82
TVshow,The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65,80
TVshow,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81,80
TVshow,Homeward Bound: The Incredible Journey,G,General Audiences. Suitable for all ages.,35,1993,96,80
TVshow,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,80
TVshow,Antz,PG,moderate adult language and intense action,60,1998,80,80
TVshow,Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,,82
TVshow,The Road to El Dorado,PG,mild thematic material and language,60,2000,91,80
TVshow,Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,,82
TVshow,Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61,80
TVshow,Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,60,1987,58,80
TVshow,Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35,1997,,82
TVshow,Cats & Dogs,PG,animal action and humor,60,2001,,82
TVshow,Atlantis: The Lost Empire,PG,action violence,60,2001,96,80
